timestamp_utc,round,load_state,round_start_utc,warmup_start_utc,ready_utc,round_end_utc,locust_exit_code,qps_total,qps_2xx,qps_5xx,frontend_p95
2026-04-12T10:35:00.883695+00:00,2,PRONTA,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,34.021473814378496,27.120590437824873,0.0,0.016633495145631068
2026-04-12T10:45:30+00:00,3,AQUECIMENTO,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,33.535320535388585,27.452857007761274,0.0,0.019477707006369423
2026-04-12T10:46:00+00:00,3,AQUECIMENTO,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,33.258716441758,26.070627301778337,0.0,0.0197639751552795
2026-04-12T10:46:30+00:00,3,EXECUCAO,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,32.531165925017824,24.865114938633223,0.0,0.019740797546012268
2026-04-12T10:47:00+00:00,3,EXECUCAO,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,30.727032524785507,24.33136407633631,0.0,0.019305921052631576
2026-04-12T10:47:30+00:00,3,EXECUCAO,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,30.985070080155594,24.535211101543922,0.0,0.019580188679245273
2026-04-12T10:48:00+00:00,3,EXECUCAO,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,32.293685153090756,24.95498745336721,0.0,0.019632812499999992
2026-04-12T10:48:30+00:00,3,EXECUCAO,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,33.034544695166794,26.55418463731604,0.0,0.01926858108108107
2026-04-12T10:49:00+00:00,3,EXECUCAO,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,33.154837664842304,26.190690128087084,0.0,0.018978260869565215
2026-04-12T10:49:30+00:00,3,EXECUCAO,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,33.25668940105642,26.3488625685857,0.0,0.019107913669064742
2026-04-12T10:50:00+00:00,3,EXECUCAO,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,34.01455444479648,26.72166635540491,0.0,0.01967142857142857
2026-04-12T10:50:30+00:00,3,EXECUCAO,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,34.16416771543027,27.157007107424626,0.0,0.019445754716981137
2026-04-12T10:51:00+00:00,3,EXECUCAO,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,33.51533531689556,27.48998740713463,0.0,0.019781626506024094
2026-04-12T10:51:30+00:00,3,EXECUCAO,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,32.24235030736325,26.562786444756057,0.0,0.019636075949367077
2026-04-12T10:52:00+00:00,3,EXECUCAO,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,31.99384494652894,26.05382104550835,0.0,0.019549363057324843
2026-04-12T10:52:30+00:00,3,EXECUCAO,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,34.21029935077953,27.449013595313875,0.0,0.019840909090909076
2026-04-12T10:53:00+00:00,3,EXECUCAO,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,34.013294327318114,27.162634351317244,0.0,0.01935472972972972
2026-04-12T10:53:30+00:00,3,EXECUCAO,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,33.83779758645613,27.070238069164894,0.0,0.019629807692307703
2026-04-12T10:54:00+00:00,3,EXECUCAO,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,34.915036600978254,27.48344353476783,0.0,0.019867469879518075
2026-04-12T10:54:30+00:00,3,EXECUCAO,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,34.7404784154588,27.831490212882052,0.0,0.019732142857142858
2026-04-12T10:55:00+00:00,3,EXECUCAO,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,33.76975200881825,26.374388381810043,0.0,0.01953025477707005
2026-04-12T10:55:30+00:00,3,EXECUCAO,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,34.536759997970556,26.388514499219077,0.0,0.01911224489795917
2026-04-12T10:56:00+00:00,3,EXECUCAO,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,32.316063549877875,25.777445271564368,0.0,0.019263513513513526
2026-04-12T10:56:30+00:00,3,EXECUCAO,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,33.14206073463746,26.24414879258062,0.0,0.01902393617021276
2026-04-12T10:46:30.292918+00:00,3,PRONTA,2026-04-12T10:45:30.292917+00:00,2026-04-12T10:45:30.292918+00:00,2026-04-12T10:46:30.292918+00:00,2026-04-12T10:56:30.292918+00:00,1,32.531165925017824,24.865114938633223,0.0,0.019740797546012268
